id,order_id,item_id,item_name,qty,price,cost
1,833,149,Ping Pong Balls,4,11.96,2.4
2,968,109,Eyepatch,3,14.97,7.5
3,1122,138,Balloon,3,5.97,2.4
4,794,103,Handkerchief,3,14.97,2.25
5,915,101,Cowboy Hat,1,39.99,12
6,1351,113,Sheet w/ Holes,1,3.59,0.9
7,839,127,Brown Wig,3,20.97,6.3
8,1411,132,Bone Suite,3,47.97,9.6
9,1071,131,Scrubs,2,30.98,4.64
10,1277,149,Ping Pong Balls,1,2.99,0.6
11,828,124,Crazy Hair Wig,3,17.97,1.8
12,1595,146,Tablecloth,4,23.96,13.16
13,1539,128,Blonde Wig,2,13.98,4.9
14,1316,120,Tattered Suit,1,29.99,10.5
15,872,133,Skull Mask,2,9.98,1.5
16,1567,131,Scrubs,1,15.49,2.32
17,788,137,Baseball Uniform,3,65.97,29.7
18,1418,104,Spurs,1,24.99,2.5
19,1665,139,Streamers,4,7.96,0.8
20,1667,104,Spurs,3,74.97,7.5
21,1334,118,Tights,2,17.98,10.78
22,1176,141,Forks,4,11.96,6.56
23,1163,140,Cups,2,7.98,4.38
24,1010,110,Ball Gown,1,35.99,9
25,1711,101,Cowboy Hat,2,79.98,24
26,1564,146,Tablecloth,2,11.98,6.58
27,1623,146,Tablecloth,2,11.98,6.58
28,912,124,Crazy Hair Wig,1,5.99,0.6
29,1452,125,Face Paint,2,13.98,1.4
30,1029,124,Crazy Hair Wig,3,17.97,1.8
31,1365,141,Forks,4,11.96,6.56
32,1323,128,Blonde Wig,1,6.99,2.45
33,1132,135,Bat,3,41.97,6.3
34,1445,147,Pinata,1,12.99,5.2
35,777,146,Tablecloth,3,17.97,9.87
36,1721,106,Pirate Hat,1,17.99,2.7
37,1739,132,Bone Suite,2,31.98,6.4
38,1610,141,Forks,3,8.97,4.92
39,1362,125,Face Paint,3,20.97,2.1
40,1099,132,Bone Suite,2,31.98,6.4
41,1064,127,Brown Wig,1,6.99,2.1
42,1332,103,Handkerchief,4,19.96,3
43,1496,105,Chaps,1,16.99,7.65
44,1744,109,Eyepatch,1,4.99,2.5
45,1375,148,Pin-the-tail,3,26.97,9.45
46,1158,120,Tattered Suit,4,119.96,42
47,1030,110,Ball Gown,1,35.99,9
48,1497,146,Tablecloth,2,11.98,6.58
49,1396,138,Balloon,3,5.97,2.4
50,1052,144,Plates,2,3.98,1
51,1138,140,Cups,4,15.96,8.76
52,1002,116,Wand,4,51.96,7.8
53,1457,149,Ping Pong Balls,4,11.96,2.4
54,1019,128,Blonde Wig,1,6.99,2.45
55,1608,143,Napkins,1,2.99,1.5
56,1329,124,Crazy Hair Wig,1,5.99,0.6
57,768,135,Bat,4,55.96,8.4
58,831,121,Bolt,4,11.96,4.2
59,1268,138,Balloon,2,3.98,1.6
60,978,134,Baseball Hat,3,14.97,8.97
61,929,121,Bolt,4,11.96,4.2
62,1487,132,Bone Suite,4,63.96,12.8
63,1399,138,Balloon,3,5.97,2.4
64,879,125,Face Paint,4,27.96,2.8
65,1197,143,Napkins,4,11.96,6
66,1014,139,Streamers,4,7.96,0.8
67,817,130,Stethoscope,2,23.98,9.6
68,1553,120,Tattered Suit,3,89.97,31.5
69,1480,108,Hook,2,9.98,5.98
70,1486,148,Pin-the-tail,1,8.99,3.15
71,1733,107,Pirate Boots,2,23.98,2.4
72,962,131,Scrubs,1,15.49,2.32
73,1746,112,Necklace,1,5.99,2.7
74,958,145,Banner,4,31.96,17.56
75,1673,129,Red Wig,4,27.96,12.6
76,886,136,Cleats,3,38.97,23.37
